1_9_1,ROAD22,(121.23177737,31.32948870)
1_9_5,ROAD11,(121.23184148,31.32900077)
1_8_1,ROAD32,(121.23313841,31.32732843)
1_8_3,ROAD81,(121.23350145,31.32711668)
1_8_5,ROAD21,(121.23328184,31.32679605)
1_8_7,ROAD92,(121.23285331,31.32699642)
1_10_1,ROAD42,(121.23528147,31.32439427)
1_10_5,ROAD31,(121.23542057,31.32388275)
1_7_3,ROAD71,(121.23000163,31.32603193)
1_7_7,ROAD82,(121.22944123,31.32598910)
1_6_3,ROAD61,(121.22683178,31.32624923)
1_6_5,ROAD112,(121.22666473,31.32652111)
1_6_7,ROAD72,(121.22644979,31.32662400)
1_5_1,ROAD62,(121.22397217,31.32884475)
1_5_5,ROAD51,(121.22409316,31.32862061)
1_5_7,ROAD102,(121.22411621,31.32828932)
