121.23177148,31.32942718,4
121.23173988,31.32947990,4
121.23170770,31.32953337,4
121.23167892,31.32958003,4
121.23164842,31.32962781,4
121.23161562,31.32967727,4
121.23157653,31.32972971,4
121.23154486,31.32977607,5
121.23154786,31.32977647,4
121.23151151,31.32983424,5
121.23150933,31.32983158,4
121.23147429,31.32988059,5
121.23147389,31.32988080,4
121.23144230,31.32992038,5
121.23144343,31.32992218,4
121.23140399,31.32997025,5
121.23140688,31.32997030,4
121.23136623,31.33002285,5
121.23136623,31.33002280,4
121.23132316,31.33007713,4
121.23128272,31.33012681,4
121.23123965,31.33017845,4
121.23118839,31.33023766,5
121.23119112,31.33023548,4
121.23114913,31.33028291,4
121.23110808,31.33032927,4
121.23105794,31.33038399,4
121.23100946,31.33043558,4
121.23095400,31.33049339,4
121.23090048,31.33054723,4
121.23084942,31.33059704,4
121.23079715,31.33064672,5
121.23079344,31.33064532,5
121.23079699,31.33064741,4
121.23072364,31.33071552,4
