121.23177737,31.32948870,4
121.23184148,31.32900077,4
121.23313821,31.32732796,5
121.23313841,31.32732843,4
121.23350904,31.32710323,2
121.23350479,31.32710766,5
121.23350248,31.32710531,5
121.23350097,31.32710461,5
121.23350095,31.32710430,5
121.23350069,31.32710635,5
121.23349669,31.32710774,5
121.23350145,31.32711668,4
121.23328184,31.32679605,4
121.23285345,31.32699644,5
121.23285331,31.32699642,4
121.23528046,31.32439152,2
121.23528147,31.32439427,4
121.23542057,31.32388275,4
121.22999939,31.32603136,5
121.23000163,31.32603193,4
121.22944212,31.32598000,5
121.22944123,31.32598910,4
121.22683178,31.32624923,4
121.22639293,31.32600222,0
121.22639293,31.32600222,0
121.22666191,31.32652319,5
121.22666473,31.32652111,4
121.22645660,31.32661900,5
121.22644979,31.32662400,4
121.22397217,31.32884475,4
121.22409316,31.32862061,4
121.22411621,31.32828932,4
