121.23066884,31.33062339,4
121.23072233,31.33057325,4
121.23077875,31.33051919,4
121.23082811,31.33047072,4
121.23088451,31.33041313,4
121.23093378,31.33036138,4
121.23098829,31.33030312,4
121.23104002,31.33024680,4
121.23109994,31.33017900,4
121.23114875,31.33012143,4
121.23119359,31.33006603,4
121.23124103,31.33000840,4
121.23129011,31.32995029,4
121.23134597,31.32987311,4
121.23139013,31.32981302,4
121.23144016,31.32974259,4
121.23148462,31.32967834,4
121.23154328,31.32960378,5
121.23153285,31.32960619,4
121.23157313,31.32954699,4
121.23161357,31.32947878,5
121.23161353,31.32947863,5
121.23161355,31.32947867,4
121.23167115,31.32938247,4
